n,p,rho,tnsr,structure,family,k,beta,estimator
150,1000,0.5,0.33,block,binomial,1,0.5,Naive
150,1000,0.5,0.33,block,binomial,1,0.5,RC
150,1000,0.5,0.33,block,binomial,1,1,Naive
150,1000,0.5,0.33,block,binomial,1,1,RC
150,1000,0.5,0.33,block,binomial,1,1.5,Naive
150,1000,0.5,0.33,block,binomial,1,1.5,RC
150,1000,0.5,0.33,block,binomial,1,2,Naive
150,1000,0.5,0.33,block,binomial,1,2,RC
150,1000,0.5,0.33,block,binomial,1,2.5,Naive
150,1000,0.5,0.33,block,binomial,1,2.5,RC
150,1000,0.5,0.33,block,binomial,1,3,Naive
150,1000,0.5,0.33,block,binomial,1,3,RC
150,1000,0.5,0.33,block,binomial,1,5,Naive
150,1000,0.5,0.33,block,binomial,1,5,RC
150,1000,0.5,0.33,block,binomial,1,7,Naive
150,1000,0.5,0.33,block,binomial,1,7,RC
150,1000,0.5,0.33,block,binomial,1,10,Naive
150,1000,0.5,0.33,block,binomial,1,10,RC
